dataset,analysis_scope,task,feature,feature_family,recommendation_level,rank_evidence,score_evidence,plot_evidence,label_source,caveat,final_decision
XJTU-SY,manual_basic_mainline,HealthState,mag__time__rms,time_domain,Reference,StepF rank 6; StepH top10_count 3; StepI rank 4,Strong but label-source caveat applies,Reference plot tracks HI source,yes,Used for HI/FPT label construction,Do not claim as independent evidence
XJTU-SY,manual_basic_mainline,EarlyFault,mag__time__mean,time_domain,A,StepF rank 4; StepH top10_count 3; StepI rank 9,Stable amplitude feature across checks,EarlyFault effect plot supports pre/post shift,no,Redundant with mag__time__mean_abs,Use as main EarlyFault feature
XJTU-SY,manual_basic_mainline,EarlyFault,mag__time__mean_abs,time_domain,A,StepF rank 4; StepH top10_count 3; StepI rank 9,Stable amplitude feature across checks,EarlyFault effect plot supports pre/post shift,no,Redundant with mag__time__mean,Use as main EarlyFault feature
XJTU-SY,manual_basic_mainline,EarlyFault,mag__time__std,time_domain,B,StepF rank 7; StepH top10_count 2; StepI rank 7,Useful secondary dispersion feature,Effect plots support amplitude shift,no,Some condition sensitivity,Use as secondary feature
XJTU-SY,manual_basic_mainline,EarlyFault,v__time__std,time_domain,B,StepF rank 10; StepH top10_count 3; StepI rank 3,Stable vertical dispersion candidate,Strong StepI early-fault signal,no,May reflect train-condition emphasis,Use with condition-aware validation
XJTU-SY,manual_basic_mainline,EarlyFault,v__time__mean_abs,time_domain,B,StepF rank 9; StepH top10_count 2; StepI rank 5,Useful vertical amplitude candidate,Effect plots support pre/post shift,no,Condition sensitive but useful,Use as secondary feature
XJTU-SY,manual_basic_mainline,EarlyFault,h__time__mean_abs,time_domain,C,StepF rank 1; StepH top10_count 1; StepI rank 16,Strong in StepF and C3 but not stable globally,Plots strong in selected conditions,no,Condition-sensitive horizontal feature,Use only with condition caveat
XJTU-SY,manual_basic_mainline,EarlyFault,h__time__std,time_domain,C,StepF rank 2; StepH top10_count 1; StepI rank 14,Strong in StepF and C3 but downgraded in StepI,Plots strong in selected conditions,no,Condition-sensitive horizontal feature,Use only with condition caveat
XJTU-SY,manual_basic_mainline,EarlyFault,h__time__rms,time_domain,C,StepF rank 3; StepH top10_count 1; StepI rank 13,Strong in StepF and C3 but downgraded in StepI,Plots strong in selected conditions,no,Condition-sensitive horizontal feature,Use only with condition caveat
XJTU-SY,manual_basic_mainline,EarlyFault,v__spectral__entropy,spectral,C,StepH C1 rank 1; StepI rank 1,Strong only in Condition 1,Entropy plot supports C1-specific signal,no,C1-specific and not global,Use as diagnostic auxiliary
XJTU-SY,manual_basic_mainline,EarlyFault,mag__time__rms,time_domain,Reference,StepF rank 6; StepH top10_count 3; StepI rank 8,Stable but label-source caveat applies,Reference plot tracks HI source,yes,Used for HI/FPT label construction,Do not claim as independent evidence
PHM2012,official_manual_basic,RUL,h__time__mean_abs,time_domain,A,StepJ rank 1,Strong RUL correlation and top overall score,Curves show horizontal amplitude growth,no,Bearing-specific variance exists,Use as main RUL feature
PHM2012,official_manual_basic,RUL,mag__time__mean,time_domain,A,StepJ rank 2,Strong magnitude amplitude RUL signal,Curves show late-life amplitude growth,no,Redundant with mag__time__mean_abs,Use as main RUL feature
PHM2012,official_manual_basic,RUL,mag__time__mean_abs,time_domain,A,StepJ rank 2,Strong magnitude amplitude RUL signal,Curves show same pattern as magnitude mean,no,Redundant with mag__time__mean,Use as main RUL feature
PHM2012,official_manual_basic,RUL,h__time__rms,time_domain,B,StepJ rank 4,Useful horizontal energy signal,Curve supports degradation trend,no,Redundant with h__time__std,Use as secondary RUL feature
PHM2012,official_manual_basic,RUL,h__time__std,time_domain,B,StepJ rank 5,Useful horizontal dispersion signal,Curve supports degradation trend,no,Redundant with h__time__rms,Use as secondary RUL feature
PHM2012,official_manual_basic,RUL,v__time__mean_abs,time_domain,B,StepJ rank 7,Useful vertical amplitude signal,Curves and ranking support RUL use,no,Weaker than horizontal family,Use as secondary feature
PHM2012,official_manual_basic,RUL,mag__time__std,time_domain,B,StepJ rank 8,Useful magnitude dispersion signal,Curves support amplitude growth,no,Secondary to mean and horizontal features,Use as secondary feature
PHM2012,official_manual_basic,RUL,mag__time__rms,time_domain,Reference,StepJ rank 6,Strong but label-source caveat applies,Reference plot tracks HI source,yes,Used for HI/FPT label construction,Do not claim as independent evidence
PHM2012,official_manual_basic,HealthState,h__time__mean_abs,time_domain,A,StepJ rank 1,Strong health-state separability,Boxplots separate pseudo states,no,Pseudo-label caveat applies,Use as main HealthState feature
PHM2012,official_manual_basic,HealthState,h__time__std,time_domain,A,StepJ rank 2,Strong health-state separability,Boxplots show horizontal dispersion shift,no,Redundant with h__time__rms,Use as main HealthState feature
PHM2012,official_manual_basic,HealthState,h__time__rms,time_domain,A,StepJ rank 3,Strong health-state separability,Boxplots show horizontal RMS shift,no,Redundant with h__time__std,Use as main HealthState feature
PHM2012,official_manual_basic,HealthState,mag__time__mean,time_domain,B,StepJ rank 4,Stable magnitude amplitude support,Boxplots support state separation,no,Redundant with mag__time__mean_abs,Use as secondary feature
PHM2012,official_manual_basic,HealthState,mag__time__mean_abs,time_domain,B,StepJ rank 4,Stable magnitude amplitude support,Boxplots support state separation,no,Redundant with mag__time__mean,Use as secondary feature
PHM2012,official_manual_basic,HealthState,mag__spectral__entropy,spectral,C,StepJ rank 7,Secondary spectral support,Heatmap shows moderate signal,no,Secondary only,Use as diagnostic auxiliary
PHM2012,official_manual_basic,HealthState,mag__time__rms,time_domain,Reference,StepJ rank 6,Strong but label-source caveat applies,Reference plot tracks HI source,yes,Used for HI/FPT label construction,Do not claim as independent evidence
PHM2012,official_manual_basic,EarlyFault,h__time__mean_abs,time_domain,A,StepJ rank 1,Strong early-fault effect score,Effect plot supports pre/post shift,no,Pseudo-label caveat applies,Use as main EarlyFault feature
PHM2012,official_manual_basic,EarlyFault,mag__time__mean,time_domain,A,StepJ rank 2,Strong magnitude amplitude pre/post shift,Effect plot supports separation,no,Redundant with mag__time__mean_abs,Use as main EarlyFault feature
PHM2012,official_manual_basic,EarlyFault,mag__time__mean_abs,time_domain,A,StepJ rank 2,Strong magnitude amplitude pre/post shift,Effect plot supports separation,no,Redundant with mag__time__mean,Use as main EarlyFault feature
PHM2012,official_manual_basic,EarlyFault,h__time__std,time_domain,B,StepJ rank 4,Strong horizontal dispersion effect,Effect plot supports separation,no,Redundant with h__time__rms,Use as secondary feature
PHM2012,official_manual_basic,EarlyFault,h__time__rms,time_domain,B,StepJ rank 5,Strong horizontal RMS effect,Effect plot supports separation,no,Redundant with h__time__std,Use as secondary feature
PHM2012,official_manual_basic,EarlyFault,v__time__mean_abs,time_domain,B,StepJ rank 7,Useful vertical amplitude feature,Effect plot supports pre/post shift,no,Secondary to horizontal and magnitude features,Use as secondary feature
PHM2012,official_manual_basic,EarlyFault,v__time__std,time_domain,B,StepJ rank 9,Useful vertical dispersion feature,Effect plot supports pre/post shift,no,Secondary feature,Use as secondary feature
PHM2012,official_manual_basic,EarlyFault,v__spectral__rms_frequency,spectral,C,StepJ rank 11,Secondary spectral-frequency signal,Figures show weaker support,no,Secondary only,Use as diagnostic auxiliary
PHM2012,official_manual_basic,EarlyFault,v__spectral__peak_frequency,spectral,C,StepJ rank 12,Secondary spectral-frequency signal,Figures show weaker support,no,Secondary only,Use as diagnostic auxiliary
PHM2012,official_manual_basic,EarlyFault,mag__time__rms,time_domain,Reference,StepJ rank 6,Strong but label-source caveat applies,Reference plot tracks HI source,yes,Used for HI/FPT label construction,Do not claim as independent evidence
